nombre,apellido,usuario_email,usuario_legajo,tipo_vinculo_nombre,dni,cuit,empresa_nombre,disponible,inicio_actividad,total_ordenes,largas,largas_exitosas,medias,medias_exitosas,cortas,cortas_exitosas,pesadas,pesadas_exitosas,livianas,livianas_exitosas,incidencias_graves
Carlos,González,carlos_gonzalez_1@ejemplar-ml.com,ML-1001,Tercerizado,30214500,99-30214500-4,Maquina Logística S.A.,1,2024-02-19,35,8,7,11,7,16,14,21,17,14,11,3
Luis,López,luis_lopez_2@ejemplar-ml.com,ML-1002,Tercerizado,30214501,99-30214501-2,Maquina Logística S.A.,1,1998-07-15,130,51,35,23,20,56,48,69,49,61,54,2
Pedro,Rodríguez,pedro_rodriguez_3@ejemplar-ml.com,ML-1003,Tercerizado,30214502,99-30214502-0,Maquina Logística S.A.,1,1994-11-02,113,46,36,33,27,34,32,65,54,48,41,0
Juan,Rodríguez,juan_rodriguez_4@ejemplar-ml.com,ML-1004,Empleado,30214503,99-30214503-9,Maquina Logística S.A.,1,2023-05-03,80,36,17,21,15,23,21,38,26,42,27,2
Sergio,González,sergio_gonzalez_5@ejemplar-ml.com,ML-1005,Tercerizado,30214504,99-30214504-7,Maquina Logística S.A.,1,2022-07-15,92,24,15,27,23,41,36,51,35,41,39,4
Pedro,Díaz,pedro_diaz_6@ejemplar-ml.com,ML-1006,Empleado,30214505,99-30214505-5,Maquina Logística S.A.,1,2005-06-08,79,33,31,15,13,31,29,38,32,41,41,1
Miguel,González,miguel_gonzalez_7@ejemplar-ml.com,ML-1007,Empleado,30214506,99-30214506-3,Maquina Logística S.A.,1,2000-05-02,100,13,10,26,23,61,58,53,47,47,44,0
Jorge,Gómez,jorge_gomez_8@ejemplar-ml.com,ML-1008,Empleado,30214507,99-30214507-1,Maquina Logística S.A.,1,2000-12-08,127,39,33,37,30,51,46,65,51,62,58,0
Jorge,Rodríguez,jorge_rodriguez_9@ejemplar-ml.com,ML-1009,Empleado,30214508,23-30214508-3,Maquina Logística S.A.,1,2006-09-26,87,19,11,25,22,43,40,38,27,49,46,1
Jorge,Fernández,jorge_fernandez_10@ejemplar-ml.com,ML-1010,Tercerizado,30214509,99-30214509-8,Maquina Logística S.A.,1,2021-06-08,60,21,12,13,6,26,24,28,20,32,22,1
Juan,Martínez,juan_martinez_11@ejemplar-ml.com,ML-1011,Tercerizado,30214510,99-30214510-1,Maquina Logística S.A.,1,2016-06-08,90,38,21,21,14,31,25,50,30,40,30,3
Eduardo,Rodríguez,eduardo_rodriguez_12@ejemplar-ml.com,ML-1012,Tercerizado,30214511,23-30214511-3,Maquina Logística S.A.,1,1993-12-08,113,46,35,17,14,50,48,54,43,59,54,2
Sergio,Fernández,sergio_fernandez_13@ejemplar-ml.com,ML-1013,Tercerizado,30214512,99-30214512-8,Maquina Logística S.A.,1,1998-06-08,92,20,13,27,23,45,43,45,37,47,42,2
Carlos,González,carlos_gonzalez_14@ejemplar-ml.com,ML-1014,Tercerizado,30214513,99-30214513-6,Maquina Logística S.A.,1,2009-03-27,96,38,27,16,13,42,40,53,40,43,40,1
Miguel,Rodríguez,miguel_rodriguez_15@ejemplar-ml.com,ML-1015,Empleado,30214514,99-30214514-4,Maquina Logística S.A.,1,2003-09-26,85,37,32,19,15,29,29,54,47,31,29,1
Eduardo,Gómez,eduardo_gomez_16@ejemplar-ml.com,ML-1016,Monotributo,30214515,99-30214515-2,Maquina Logística S.A.,1,2003-07-15,99,28,20,27,22,44,40,48,34,51,48,0
Jorge,López,jorge_lopez_17@ejemplar-ml.com,ML-1017,Monotributo,30214516,99-30214516-0,Maquina Logística S.A.,1,2000-11-01,107,25,18,24,19,58,51,53,41,54,47,3
Miguel,Rodríguez,miguel_rodriguez_18@ejemplar-ml.com,ML-1018,Tercerizado,30214517,99-30214517-9,Maquina Logística S.A.,1,2005-05-03,96,35,24,23,17,38,30,39,25,57,46,2
Pedro,García,pedro_garcia_19@ejemplar-ml.com,ML-1019,Empleado,30214518,99-30214518-7,Maquina Logística S.A.,1,2004-01-14,117,43,40,23,22,51,47,63,55,54,54,0
Miguel,Pérez,miguel_perez_20@ejemplar-ml.com,ML-1020,Empleado,30214519,99-30214519-5,Maquina Logística S.A.,1,2004-11-01,76,28,22,14,8,34,32,44,35,32,27,1
Juan,García,juan_garcia_21@ejemplar-ml.com,ML-1021,Empleado,30214520,99-30214520-9,Maquina Logística S.A.,1,2022-07-15,49,16,8,10,6,23,20,20,11,29,23,3
Eduardo,Gómez,eduardo_gomez_22@ejemplar-ml.com,ML-1022,Empleado,30214521,99-30214521-7,Maquina Logística S.A.,1,2018-11-02,95,30,19,21,15,44,35,47,26,48,43,2
Sergio,Fernández,sergio_fernandez_23@ejemplar-ml.com,ML-1023,Empleado,30214522,99-30214522-5,Maquina Logística S.A.,1,1995-01-14,138,51,41,27,25,60,50,74,61,64,55,1
Eduardo,Martínez,eduardo_martinez_24@ejemplar-ml.com,ML-1024,Empleado,30214523,99-30214523-3,Maquina Logística S.A.,1,2003-08-21,107,33,26,23,21,51,48,52,42,55,53,0
Luis,Pérez,luis_perez_25@ejemplar-ml.com,ML-1025,Tercerizado,30214524,99-30214524-1,Maquina Logística S.A.,1,2003-08-21,87,14,11,18,13,55,47,45,33,42,38,1
Sergio,Díaz,sergio_diaz_26@ejemplar-ml.com,ML-1026,Tercerizado,30214525,23-30214525-3,Maquina Logística S.A.,1,2012-01-14,83,21,19,26,25,36,32,40,34,43,42,0
Luis,López,luis_lopez_27@ejemplar-ml.com,ML-1027,Tercerizado,30214526,99-30214526-8,Maquina Logística S.A.,1,2001-11-01,98,37,29,18,15,43,38,53,45,45,37,1
Juan,Rodríguez,juan_rodriguez_28@ejemplar-ml.com,ML-1028,Empleado,30214527,99-30214527-6,Maquina Logística S.A.,1,2005-02-19,98,34,19,20,14,44,35,47,29,51,39,4
Eduardo,Romero,eduardo_romero_29@ejemplar-ml.com,ML-1029,Empleado,30214528,99-30214528-4,Maquina Logística S.A.,1,1994-02-19,102,35,25,18,15,49,46,59,46,43,40,2
Sergio,Martínez,sergio_martinez_30@ejemplar-ml.com,ML-1030,Tercerizado,30214529,99-30214529-2,Maquina Logística S.A.,1,2005-05-03,95,28,22,25,23,42,37,47,35,48,47,0
Pedro,González,pedro_gonzalez_31@ejemplar-ml.com,ML-1031,Tercerizado,30214530,99-30214530-6,Maquina Logística S.A.,1,2009-11-01,99,44,27,19,17,36,29,52,39,47,34,2
